angle	Normangle	Sxx	Syy	Szz	Sxy	Szx	Syz	Srr	Stt	Srt	S13D   S23D	S33D	S12D	S22D	Smises3D	Smises2D	Saverage3D	Saverage2D	I13D	I23D	I33D	I12D	I22D
122.399820	0.679999	55.869500	-23.120400	13.099600	-18.081400	0.000000	0.000000	15.918685	16.830415	43.434782	59.811724	13.099600	13.099600	59.811724	-27.062624	75.306637	76.996689	15.282900	16.374550	45.848700	-1189.662103	-21203.827535	32.749100	-1618.662214
124.199820	0.689999	59.894400	-27.063600	13.132300	-16.792300	0.000000	0.000000	16.022505	16.808295	46.607407	63.024463	13.132300	13.132300	63.024463	-30.193663	80.795997	82.381307	15.321033	16.415400	45.963100	-1471.795508	-24989.971386	32.830800	-1902.939423
125.999820	0.699999	64.835600	-30.537700	13.719200	-15.183400	0.000000	0.000000	16.852922	17.444978	50.044626	67.194452	13.719200	13.719200	67.194452	-32.896552	86.749178	88.361435	16.005700	17.148950	48.017100	-1739.925988	-30325.821548	34.297900	-2210.465738
127.799820	0.709999	69.775500	-34.473200	14.120900	-13.333800	0.000000	0.000000	17.602907	17.699393	53.802749	71.453920	14.120900	14.120900	71.453920	-36.151620	93.255975	94.846072	16.474400	17.651150	49.423200	-2084.674741	-36476.755703	35.302300	-2583.174989
129.599820	0.719999	76.229700	-37.151800	15.631200	-11.035900	0.000000	0.000000	19.756224	19.321676	57.754524	77.293882	15.631200	15.631200	77.293882	-38.215982	100.110775	101.924812	18.236367	19.538950	54.709100	-2343.027187	-46172.402337	39.077900	-2953.861657
131.399820	0.729999	82.366700	-40.237100	16.851800	-8.484080	0.000000	0.000000	21.798426	20.331174	61.881858	82.951007	16.851800	16.851800	82.951007	-40.821407	107.272816	109.240256	19.660467	21.064800	58.981400	-2676.217165	-57063.173491	42.129600	-3386.176758
133.199820	0.739999	89.885300	-41.973800	19.164600	-5.452140	0.000000	0.000000	25.256965	22.654535	66.141804	90.110352	19.164600	19.164600	90.110352	-42.198852	114.683256	117.060549	22.358700	23.955750	67.076100	-2884.348703	-72874.415574	47.911500	-3802.553436
134.999820	0.749999	97.655500	-43.171100	21.793800	-2.084110	0.000000	0.000000	29.325868	25.158532	70.413313	97.686336	21.793800	21.793800	97.686336	-43.201936	122.134410	125.017065	25.426067	27.242200	76.278200	-3032.816754	-91975.041897	54.484400	-4220.238871
136.799820	0.759999	106.026000	-43.455800	25.028100	1.675060	0.000000	0.000000	34.305896	28.264304	74.698613	106.044768	25.028100	25.028100	106.044768	-43.474568	129.638628	133.213293	29.199433	31.285100	87.598300	-3044.237254	-115385.809958	62.570200	-4610.250477
138.599820	0.769999	115.273000	-42.269300	29.201600	5.851990	0.000000	0.000000	40.568152	32.435548	78.883490	115.490076	29.201600	29.201600	115.490076	-42.486376	137.006253	141.597333	34.068433	36.501850	102.205300	-2774.929960	-143285.091139	73.003700	-4906.754806
140.400000	0.780000	124.193000	-40.733500	33.383700	10.231500	0.000000	0.000000	47.131550	36.327950	82.919791	124.825305	33.383700	33.383700	124.825305	-41.365805	144.167507	149.853214	38.947733	41.729750	116.843200	-2377.312248	-172376.706833	83.459500	-5163.499158
142.200000	0.790000	134.505000	-36.949700	39.022300	15.078500	0.000000	0.000000	55.492394	42.062906	86.783938	135.820971	39.022300	39.022300	135.820971	-38.265671	151.078741	158.457812	45.525867	48.777650	136.577600	-1390.448378	-202809.841226	97.555300	-5197.280561
144.000000	0.800000	143.846000	-33.131900	44.285800	19.900100	0.000000	0.000000	63.775520	46.938580	90.307462	146.056048	44.285800	44.285800	146.056048	-35.341948	157.484911	166.563284	51.666633	55.357050	154.999900	-258.842778	-228599.104291	110.714100	-5161.905267
145.800000	0.810000	154.389000	-27.134200	50.902100	25.059200	0.000000	0.000000	73.739518	53.515282	93.612908	157.784883	50.902100	50.902100	157.784883	-30.530083	163.581258	175.058106	59.385633	63.627400	178.156900	1660.351047	-245204.858469	127.254800	-4817.185508
147.600000	0.820000	164.676000	-20.274200	57.760600	30.165100	0.000000	0.000000	84.280684	60.121116	96.517647	169.471540	57.760600	57.760600	169.471540	-25.069740	169.095400	183.296760	67.387467	72.200900	202.162400	4092.127192	-245402.113583	144.401800	-4248.607417
149.400000	0.830000	175.402000	-11.902400	65.399800	35.296300	0.000000	0.000000	95.936708	67.562892	99.072171	181.832583	65.399800	65.399800	181.832583	-18.332983	174.117812	191.657820	76.299800	81.749800	228.899400	7359.307582	-218012.428019	163.499600	-3333.533558
151.200000	0.840000	186.492000	-1.909280	73.833200	40.360600	0.000000	0.000000	108.689005	75.893715	101.162522	194.774230	73.833200	73.833200	194.774230	-10.191510	178.462656	200.064767	86.138640	92.291360	258.415920	11643.289404	-146562.112129	184.582720	-1985.043478
153.000000	0.850000	197.437000	9.009110	82.578500	45.033700	0.000000	0.000000	122.167594	84.278516	102.690827	207.646719	82.578500	82.578500	207.646719	-1.200609	182.041485	208.249619	96.341537	103.223055	289.024610	16798.707610	-20587.025226	206.446110	-249.302485
154.800000	0.860000	209.036000	21.980400	92.406400	49.570100	0.000000	0.000000	136.930645	94.085755	103.661579	221.360192	92.406400	92.406400	221.360192	9.656208	184.790762	216.693509	107.807600	115.508200	323.422800	23484.893945	197518.687429	231.016400	2137.500080
156.600000	0.870000	220.257000	35.637300	102.358000	53.247100	0.000000	0.000000	152.322125	103.572175	103.741133	234.513383	102.358000	102.358000	234.513383	21.380917	186.343475	224.587532	119.417433	127.947150	358.252300	31206.939887	513234.386808	255.894300	5014.111128
158.400000	0.880000	232.018000	51.127600	113.258000	56.488900	0.000000	0.000000	168.835200	114.310400	103.092636	248.209239	113.258000	113.258000	248.209239	34.936361	186.857480	232.716239	132.134533	141.572800	396.403600	40740.032038	982119.881255	283.145600	8671.527674
160.200000	0.890000	243.571000	67.437300	124.403000	58.748300	0.000000	0.000000	185.913248	125.095052	101.402266	261.367896	124.403000	124.403000	261.367896	49.640404	185.980322	240.422418	145.137100	155.504150	435.411300	51664.773390	1614055.259193	311.008300	12974.407845
162.000000	0.900000	254.918000	84.783000	135.880000	60.086400	0.000000	0.000000	203.353653	136.347347	98.612341	273.998736	135.880000	135.880000	273.998736	65.702264	183.560780	247.769565	158.527000	169.850500	475.581000	64160.909209	2446157.596270	339.701000	18002.337329
163.800000	0.910000	265.977000	102.431000	147.363000	60.200500	0.000000	0.000000	220.990186	147.417814	94.645128	285.746719	147.363000	147.363000	285.746719	82.661281	179.694269	254.683892	171.923667	184.204000	515.771000	77909.897991	3480742.042281	368.408000	23620.189887
165.600000	0.920000	277.351000	121.547000	159.559000	58.717100	0.000000	0.000000	239.427864	159.470136	88.983762	297.001137	159.559000	159.559000	297.001137	101.896863	173.610110	261.398473	186.152333	199.449000	558.457000	93911.250147	4828811.269818	398.898000	30263.484165
167.400000	0.930000	286.681000	138.481000	170.065000	55.798000	0.000000	0.000000	255.871052	169.290948	82.037785	305.339972	170.065000	170.065000	305.339972	119.822028	166.193534	266.464560	198.409000	212.581000	595.227000	108891.630287	6222075.428249	425.162000	36586.454757
169.200000	0.940000	298.658000	158.110000	182.707000	51.501700	0.000000	0.000000	274.764072	182.003928	73.754654	315.509543	182.707000	182.707000	315.509543	141.258457	157.667273	273.736793	213.158333	228.384000	639.475000	128023.102253	8142957.065067	456.768000	44568.391277
171.000000	0.950000	307.241000	173.579000	192.328000	45.593600	0.000000	0.000000	289.880861	190.939139	64.014005	321.312156	192.328000	192.328000	321.312156	159.507844	148.146399	278.266859	224.382667	240.410000	673.148000	143726.958138	9857157.955594	480.820000	51251.809178
172.800000	0.960000	315.854000	188.947000	201.921000	38.681700	0.000000	0.000000	304.240744	200.560256	53.246687	326.714836	201.921000	201.921000	326.714836	178.086164	138.260774	283.326444	235.574000	252.400500	706.722000	160113.314544	11748448.660314	504.801000	58183.391823
174.600000	0.970000	321.032000	200.178000	208.484000	30.410100	0.000000	0.000000	314.263387	206.946613	41.194344	328.252591	208.484000	208.484000	328.252591	192.957409	128.238794	285.733364	243.231333	260.605000	729.694000	172002.715154	13205120.023355	521.210000	63338.769514
176.400000	0.980000	325.272000	208.701000	213.589000	21.344700	0.000000	0.000000	322.137201	211.835799	28.481501	329.057393	213.589000	213.589000	329.057393	204.915607	120.040327	287.819698	249.187333	266.986500	747.562000	181479.754551	14402091.710005	533.973000	67428.995454
178.200000	0.990000	326.151000	213.584000	215.894000	10.143200	0.000000	0.000000	325.403041	214.331959	13.657255	327.057682	215.894000	215.894000	327.057682	212.677318	112.806424	287.472813	251.876333	269.867500	755.629000	186083.298768	15017101.024824	539.735000	69557.750678
180.000000	1.000000	327.439000	216.629000	217.627000	0.002937	0.000000	0.000000	327.439000	216.629000	0.002937	327.439000	217.627000	217.627000	327.439000	216.629000	110.314386	288.464277	253.898333	272.034000	761.695000	189336.669758	15436888.792573	544.068000	70932.783122
