angle    Normangle    Sxx    Syy    Szz    Sxy    Szx    Syz    Srr    Stt    Srt    S13D   S23D    S33D    S12D    S22D    Smises3D    Smises2D    Saverage3D    Saverage2D    I13D    I23D    I33D    I12D    I22D
95.399820    0.529999    -14.984200    -36.992100    -20.790500    -9.315140    0.000000    0.000000    -35.051777    -16.924523    11.212021    -11.570843    -20.790500    -20.790500    -11.570843    -40.405457    25.506701    36.041090    -24.255600    -25.988150    -72.766800    1548.138457    -9720.082496    -51.976300    467.525192
97.199820    0.539999    -12.666900    -37.216000    -19.953200    -12.243500    0.000000    0.000000    -33.785631    -16.097269    14.911349    -7.604557    -19.953200    -19.953200    -7.604557    -42.278343    30.439879    39.035619    -23.278700    -24.941450    -69.836100    1316.831538    -6415.114586    -49.882900    321.508058
98.999820    0.549999    -9.892130    -37.652800    -19.018000    -15.010700    0.000000    0.000000    -32.335003    -15.209927    18.565230    -3.327788    -19.018000    -19.018000    -3.327788    -44.217142    35.728971    42.650727    -22.187643    -23.772465    -66.562930    1051.354757    -2798.408897    -47.544930    147.145278
100.799820    0.559999    -5.816820    -37.297000    -17.245500    -17.552200    0.000000    0.000000    -29.730419    -13.383401    22.113885    2.019141    -17.245500    -17.245500    2.019141    -45.132961    41.061889    46.175652    -20.119773    -21.556910    -60.359320    652.389594    1571.578781    -43.113820    -91.129789
102.599820    0.569999    -1.847440    -37.643800    -15.796500    -20.000500    0.000000    0.000000    -27.424740    -12.066500    25.717620    7.093993    -15.796500    -15.796500    7.093993    -46.585233    46.655011    50.507267    -18.429247    -19.745620    -55.287740    293.348034    5220.353683    -39.491240    -330.475338
104.399820    0.579999    3.484460    -37.321200    -13.534700    -22.169200    0.000000    0.000000    -24.117596    -9.719144    29.256111    13.210502    -13.534700    -13.534700    13.210502    -47.047242    52.294320    54.858709    -15.790480    -16.918370    -47.371440    -163.547532    8412.055035    -33.836740    -621.517657
106.199820    0.589999    8.594390    -37.545400    -11.580400    -24.052900    0.000000    0.000000    -21.066079    -7.884931    32.669962    18.852592    -11.580400    -11.580400    18.852592    -47.803602    57.798510    59.513246    -13.510470    -14.475505    -40.531410    -565.957533    10436.509034    -28.951010    -901.221809
107.999820    0.599999    14.769300    -37.183800    -8.965800    -25.633300    0.000000    0.000000    -17.156071    -5.258429    36.006371    25.287232    -8.965800    -8.965800    25.287232    -47.701732    63.250026    64.196138    -10.460100    -11.207250    -31.380300    -1005.280842    10814.949325    -22.414500    -1206.244766
109.799820    0.609999    21.194600    -36.840500    -6.258370    -26.886200    0.000000    0.000000    -13.043694    -2.602206    39.212623    31.735689    -6.258370    -6.258370    31.735689    -47.381589    68.535435    68.962718    -7.301423    -7.822950    -21.904270    -1405.769581    9410.632187    -15.645900    -1503.687412
111.599820    0.619999    28.055900    -36.341200    -3.314120    -27.807300    0.000000    0.000000    -8.579242    0.293942    42.312046    38.401357    -3.314120    -3.314120    38.401357    -46.686657    73.693040    73.804737    -3.866473    -4.142650    -11.599420    -1765.372528    5941.657095    -8.285300    -1792.831006
113.399820    0.629999    35.502100    -35.377000    0.050058    -28.369000    0.000000    0.000000    -3.517665    3.642765    45.254214    45.458165    0.050058    0.050058    45.458165    -45.333065    78.627513    78.627537    0.058386    0.062550    0.175158    -2060.751690    -103.157216    0.125100    -2060.757953
115.199820    0.639999    42.720200    -34.723300    3.198770    -28.530200    0.000000    0.000000    1.298873    6.698027    48.021438    52.095708    3.198770    3.198770    52.095708    -44.098808    83.310733    83.402796    3.731890    3.998450    11.195670    -2271.778389    -7348.721874    7.996900    -2297.358633
116.999820    0.649999    50.690000    -33.315300    6.949890    -28.338300    0.000000    0.000000    6.924660    10.450040    50.637681    59.355702    6.949890    6.949890    59.355702    -41.981002    87.777357    88.189090    8.108197    8.687350    24.324590    -2371.059550    -17317.817938    17.374700    -2491.811804
118.799820    0.659999    58.136700    -32.296900    10.335900    -27.727500    0.000000    0.000000    12.102296    13.737504    53.034939    65.961141    10.335900    10.335900    65.961141    -40.121341    91.906457    92.774154    12.058567    12.919900    36.175700    -2379.371854    -27353.436793    25.839800    -2646.449442
120.599820    0.669999    66.025700    -30.738500    14.114900    -26.775200    0.000000    0.000000    17.798285    17.488915    55.296609    72.940426    14.114900    14.114900    72.940426    -37.653226    95.841893    97.388467    16.467367    17.643600    49.402100    -2248.367015    -38765.758625    35.287200    -2746.442314
122.399820    0.679999    73.652600    -29.213800    17.775500    -25.465400    0.000000    0.000000    23.361631    21.077169    57.380798    79.611565    17.775500    17.775500    79.611565    -35.172765    99.505428    101.859137    20.738100    22.219400    62.214300    -2010.237034    -49774.224936    44.438800    -2800.158923
124.199820    0.689999    81.256500    -27.537900    21.487400    -23.807900    0.000000    0.000000    28.970008    24.748592    59.341523    86.238349    21.487400    21.487400    86.238349    -32.519749    102.987726    106.296926    25.068667    26.859300    75.206000    -1650.176428    -60260.327622    53.718600    -2804.449474
125.999820    0.699999    88.863000    -25.603600    25.303800    -21.880700    0.000000    0.000000    34.753035    28.506365    61.193631    92.902987    25.303800    25.303800    92.902987    -29.643587    106.316810    110.741523    29.521067    31.629700    88.563200    -1153.274534    -69686.101919    63.259400    -2753.977739
127.799820    0.709999    96.084100    -23.857700    28.890500    -19.597400    0.000000    0.000000    40.180360    32.046040    62.960505    99.204934    28.890500    28.890500    99.204934    -26.978534    109.516520    115.090677    33.705633    36.113200    101.116900    -589.746910    -77322.641653    72.226400    -2676.403719
129.599820    0.719999    103.549000    -21.624600    32.770000    -17.105000    0.000000    0.000000    46.036220    35.888180    64.683405    105.844313    32.770000    32.770000    105.844313    -23.919913    112.677317    119.611736    38.231467    40.962200    114.694400    152.875858    -82966.651155    81.924400    -2531.786730
131.399820    0.729999    110.501000    -19.707300    36.317500    -14.286400    0.000000    0.000000    51.410467    39.383233    66.381383    112.050069    36.317500    36.317500    112.050069    -21.256369    115.803235    124.051718    42.370400    45.396850    127.111200    915.622617    -86500.207344    90.793700    -2381.777582
133.199820    0.739999    117.741000    -17.358400    40.153200    -11.264100    0.000000    0.000000    57.191264    43.191336    68.123729    118.673721    40.153200    40.153200    118.673721    -18.291121    119.039024    128.797098    46.845267    50.191300    140.535800    1860.007291    -87159.560388    100.382600    -2170.675323
134.999820    0.749999    124.851000    -14.981600    43.947900    -7.993400    0.000000    0.000000    62.927661    46.941739    69.916350    125.306452    43.947900    43.947900    125.306452    -15.437052    122.381617    133.695070    51.272433    54.934700    153.817300    2894.167219    -85011.155877    109.869400    -1934.362185
136.799820    0.759999    132.064000    -12.407600    47.862400    -4.493340    0.000000    0.000000    68.847946    50.808454    71.811177    132.203616    47.862400    47.862400    132.203616    -12.547216    125.927690    138.902902    55.839600    59.828200    167.518800    4068.255089    -79393.545611    119.656400    -1658.787391
138.599820    0.769999    139.594000    -9.319250    52.109800    -0.758648    0.000000    0.000000    75.221467    55.053283    73.774492    139.597865    52.109800    52.109800    139.597865    -9.323115    129.625659    144.485194    60.794850    65.137375    182.384550    5487.104236    -67820.223692    130.274750    -1301.486931
140.400000    0.780000    146.986000    -6.262570    56.289300    3.173770    0.000000    0.000000    81.602120    59.121310    75.861763    147.051700    56.289300    56.289300    147.051700    -6.328270    133.574303    150.315776    65.670910    70.361715    197.012730    6990.640438    -52381.861724    140.723430    -930.582930
142.200000    0.790000    155.110000    -2.139940    61.188200    7.377080    0.000000    0.000000    88.892949    64.077111    77.989427    155.455323    61.188200    61.188200    155.455323    -2.485263    137.633261    156.712735    71.386087    76.485030    214.158260    8973.615223    -23639.902148    152.970060    -386.347403
144.000000    0.800000    162.891000    1.908870    65.919900    11.670500    0.000000    0.000000    96.173737    68.626133    80.157935    163.732660    65.919900    65.919900    163.732660    1.067210    141.833099    163.201672    76.906590    82.399935    230.719770    11038.328123    11518.656965    164.799870    174.737173
145.800000    0.810000    171.459000    7.182590    71.456800    16.209700    0.000000    0.000000    104.486487    74.155103    82.337360    173.043188    71.456800    71.456800    173.043188    5.598402    146.107630    170.313011    83.366130    89.320795    250.098390    13733.921693    69224.870055    178.641590    968.765325
147.600000    0.820000    180.104000    13.046700    77.260300    20.797400    0.000000    0.000000    113.322069    79.828631    84.434084    182.654193    77.260300    77.260300    182.654193    10.496507    150.338860    177.638678    90.137000    96.575350    270.411000    16840.112037    148125.843005    193.150700    1917.231010
149.400000    0.830000    189.189000    19.922200    83.644600    25.452700    0.000000    0.000000    123.023680    86.087520    86.426746    192.933495    83.644600    83.644600    192.933495    16.177705    154.496689    185.374838    97.585267    104.555600    292.755800    20612.243838    261073.295315    209.111200    3121.221159
151.200000    0.840000    198.737000    28.109200    90.738500    30.126600    0.000000    0.000000    133.699844    93.146356    88.175548    203.900023    90.738500    90.738500    203.900023    22.946177    158.343967    193.450304    105.861567    113.423100    317.584700    25262.409972    424540.583946    226.846200    4678.726053
153.000000    0.850000    208.322000    37.014300    98.134500    34.537400    0.000000    0.000000    145.072876    100.263424    89.595995    215.022977    98.134500    98.134500    215.022977    30.313323    161.833686    201.583028    114.490267    122.668150    343.470800    30594.016138    639646.657778    245.336300    6518.061006
154.800000    0.860000    218.591000    47.761400    106.541000    38.909200    0.000000    0.000000    157.641589    108.710811    90.614892    227.035743    106.541000    106.541000    227.035743    39.316657    164.736989    210.154091    124.297800    133.176200    372.893400    37303.737391    951015.473244    266.352400    8926.286343
156.600000    0.870000    228.642000    59.080500    115.089000    42.560500    0.000000    0.000000    170.872398    116.850102    90.937174    238.725214    115.089000    115.089000    238.725214    48.997286    166.809345    218.388586    134.270500    143.861250    402.811500    44810.582323    1346183.087876    287.722500    11696.887521
158.400000    0.880000    239.261000    72.179400    124.576000    45.887600    0.000000    0.000000    185.206599    126.233801    90.638234    251.034087    124.576000    124.576000    251.034087    60.406313    168.000513    226.942706    145.338800    155.720200    436.016400    53962.042860    1889075.894223    311.440400    15164.043590
160.200000    0.890000    249.724000    86.023900    134.299000    48.330800    0.000000    0.000000    200.133286    135.614614    89.412707    262.928129    134.299000    134.299000    262.928129    72.819771    168.027284    235.133056    156.682300    167.873950    470.046900    64236.973397    2571337.830931    335.747900    19146.366175
162.000000    0.900000    260.674000    101.374000    144.819000    49.938900    0.000000    0.000000    216.108855    145.939145    87.218514    275.034724    144.819000    144.819000    275.034724    87.013276    166.807826    243.482519    168.955667    181.024000    506.867000    76363.101655    3465760.857011    362.048000    23931.672343
